"DISTRITO";"DISTRITO_nome";"sexo";"Sexo";"faixa_idade";"fx_idade";"N";"n";"fator"
1;"AGUAS LINDAS DE GOIAS";"Feminino";2;"1";"fx0a4";11142.95;119;93.6382352941176
1;"AGUAS LINDAS DE GOIAS";"Masculino";1;"1";"fx0a4";11449.25;136;84.1856617647059
2;"ALEXANIA";"Feminino";2;"1";"fx0a4";995.2624;40;24.88156
2;"ALEXANIA";"Masculino";1;"1";"fx0a4";1045.727;50;20.91454
4;"CIDADE OCID_J ABC";"Feminino";2;"1";"fx0a4";593.251231232042;63;9.41668621003241
4;"CIDADE OCID_J ABC";"Masculino";1;"1";"fx0a4";615.359944121953;69;8.91826005973845
3;"CIDADE OCID_SEDE";"Feminino";2;"1";"fx0a4";2611.73839140947;57;45.8199717791135
3;"CIDADE OCID_SEDE";"Masculino";1;"1";"fx0a4";2709.07013081322;68;39.8392666296061
8;"COCALZ de GOIAS_GIR/EDI";"Feminino";2;"1";"fx0a4";333.464589080515;66;5.05249377394719
8;"COCALZ de GOIAS_GIR/EDI";"Masculino";1;"1";"fx0a4";356.73598737976;71;5.02445052647549
7;"COCALZ de GOIAS_SEDE";"Feminino";2;"1";"fx0a4";323.952880396736;54;5.99912741475436
7;"COCALZ de GOIAS_SEDE";"Masculino";1;"1";"fx0a4";346.560487791234;49;7.07266301614764
6;"CRISTALINA_CAM LIND";"Feminino";2;"1";"fx0a4";246.235622719152;65;3.78824034952541
6;"CRISTALINA_CAM LIND";"Masculino";1;"1";"fx0a4";258.959463357878;83;3.11999353443227
5;"CRISTALINA_SEDE";"Feminino";2;"1";"fx0a4";1186.03901592446;50;23.7207803184893
5;"CRISTALINA_SEDE";"Masculino";1;"1";"fx0a4";1247.32572685316;67;18.6168018933307
9;"FORMOSA";"Feminino";2;"1";"fx0a4";4762.802;83;57.383156626506
9;"FORMOSA";"Masculino";1;"1";"fx0a4";4955.337;106;46.7484622641509
11;"LUZIANIA_J INGA";"Feminino";2;"1";"fx0a4";3049.81346571815;54;56.4780271429287
11;"LUZIANIA_J INGA";"Masculino";1;"1";"fx0a4";3214.95822287657;63;51.0310829028027
10;"LUZIANIA_SEDE";"Feminino";2;"1";"fx0a4";5246.04230762871;59;88.9159713157408
10;"LUZIANIA_SEDE";"Masculino";1;"1";"fx0a4";5530.11095401464;80;69.126386925183
12;"NOVO GAMA";"Feminino";2;"1";"fx0a4";5377.287;81;66.3862592592593
12;"NOVO GAMA";"Masculino";1;"1";"fx0a4";5493.669;84;65.4008214285714
14;"Pe BERNARDO_M ALTO";"Feminino";2;"1";"fx0a4";417.043652541231;58;7.19040780243502
14;"Pe BERNARDO_M ALTO";"Masculino";1;"1";"fx0a4";441.856001486483;49;9.01746941809149
13;"Pe BERNARDO_SEDE";"Feminino";2;"1";"fx0a4";720.701054607047;54;13.3463158260564
13;"Pe BERNARDO_SEDE";"Masculino";1;"1";"fx0a4";763.579745945847;46;16.5995596944749
15;"PLANALTINA";"Feminino";2;"1";"fx0a4";3797.546;80;47.469325
15;"PLANALTINA";"Masculino";1;"1";"fx0a4";3977.236;84;47.3480476190476
16;"SANTO ANTONIO DO DESCOBERTO";"Feminino";2;"1";"fx0a4";3378.375;57;59.2697368421053
16;"SANTO ANTONIO DO DESCOBERTO";"Masculino";1;"1";"fx0a4";3485.63;64;54.46296875
17;"VALPARAISO DE GOIAS";"Feminino";2;"1";"fx0a4";7787.072;108;72.1025185185185
