"tipo_reg"	"cod_uf"	"num_seq"	"num_dv"	"cod_domc"	"num_uc"	"num_ext_renda"	"fator_expansao1"	"fator_expansao2"	"num_quadro"	"cod_item"	"cod_obtencao"	"val_despesa"	"mes"	"qtd_meses"	"fator_anual"	"num_deflator"	"val_despesa_corrigido"	"valor_anual_expandido2"	"cod_imput"	"renda_bruta_monetaria"	"renda_bruta_nao_monetaria"	"renda_total"
"1"	10	53	1	8	1	1	1	790.70992149	979.69168189	10	9001	11	300	4	12	1	1.04	312	3667965.66	0	4355.6	330.33	4685.93
"2"	10	53	1	8	10	1	1	790.70992149	979.69168189	10	9001	11	800	6	12	1	1.02	816	9593140.95	0	1635.11	820.21	2455.32
"3"	10	53	1	8	4	1	1	790.70992149	979.69168189	10	9001	11	500	5	12	1	1.03	515	6054494.59	0	3926.94	27.81	3954.75
"4"	10	53	1	8	8	1	1	790.70992149	979.69168189	10	9001	11	1500	6	12	1	1.02	1530	17987139.28	0	3769.05	1516.1	5285.15
"5"	10	53	2	6	11	1	1	4304.06036872	5332.74216876	10	9001	11	200	7	12	1	1.02	204	13054552.83	0	394.6	1699.44	2094.04
"6"	10	53	2	6	8	1	1	4304.06036872	5332.74216876	10	9001	11	600	6	12	1	1.02	612	39163658.49	0	1209.67	223.2	1432.87
"7"	10	53	4	2	10	1	1	1030.08969936	1276.28385915	10	9001	11	250	9	12	1	1.02	255	3905428.61	0	1177.53	413.33	1590.86
"8"	10	53	4	2	13	1	1	1030.08969936	1276.28385915	10	9001	11	300	10	12	1	1.02	306	4686514.33	0	1510	0	1510
"9"	10	53	4	2	2	1	1	1030.08969936	1276.28385915	10	9001	11	300	7	12	1	1.02	306	4686514.33	0	170.13	288.2	458.33
"10"	10	53	4	2	5	1	1	1030.08969936	1276.28385915	10	9001	11	250	8	12	1	1.02	255	3905428.61	0	356.8	247.12	603.92
"11"	10	53	4	2	7	1	1	1030.08969936	1276.28385915	10	9001	11	200	9	12	1	1.02	204	3124342.89	0	416	204	620
"12"	10	53	4	2	9	1	1	1030.08969936	1276.28385915	10	9001	11	400	9	12	1	1.02	408	6248685.77	0	2496.27	400.19	2896.46
"13"	10	53	5	0	13	1	1	947.38889615	1173.81734545	10	9001	11	800	1	12	1	1	800	11268646.52	0	6910	1171.9	8081.9
"14"	10	53	5	0	4	1	1	947.38889615	1173.81734545	10	9001	11	999999.99	11	12	1	1.01	816	11494019.45	1	4390	1076.27	5466.27
"15"	10	53	6	9	11	1	1	974.80523604	1207.78626303	10	9001	11	700	4	12	1	0.99	693	10043950.56	0	5050	660.92	5710.92
"16"	10	53	6	9	12	1	1	974.80523604	1207.78626303	10	9001	11	1000	4	12	1	0.99	990	14348500.8	0	3779	920.33	4699.33
"17"	10	53	6	9	13	1	1	974.80523604	1207.78626303	10	9001	11	1000	4	12	1	0.99	990	14348500.8	0	5976.48	990	6966.48
"18"	10	53	6	9	7	1	1	974.80523604	1207.78626303	10	9001	11	600	3	12	1	1	600	8696061.09	0	2550	629.25	3179.25
"19"	10	53	7	7	2	1	2	708.30786026	877.59531031	10	9001	11	800	4	12	1	1.04	832	8761911.58	0	1801	783.32	2584.32
"20"	10	53	7	7	3	1	2	708.30786026	877.59531031	10	9001	11	1200	5	12	1	1.03	1236	13016493.64	0	18531.83	1236	19767.83
"21"	10	53	7	7	6	1	2	708.30786026	877.59531031	10	9001	11	1300	5	12	1	1.03	1339	14101201.45	0	16671.08	739.54	17410.62
"22"	10	53	8	5	12	1	2	806.17718447	998.85566158	10	9001	11	1500	10	12	1	1.02	1530	18338989.95	0	3523.67	1530	5053.67
"23"	10	53	8	5	13	1	2	806.17718447	998.85566158	10	9001	11	1000	10	12	1	1.02	1020	12225993.3	0	11294.07	1052.59	12346.65
"24"	10	53	8	5	2	1	2	806.17718447	998.85566158	10	9001	11	1300	7	12	1	1.02	1326	15893791.29	0	2379.2	1285.2	3664.4
"25"	10	53	8	5	3	1	2	806.17718447	998.85566158	10	9001	11	2500	8	12	1	1.02	2550	30564983.24	0	7887.54	2550	10437.54
"26"	10	53	8	5	8	1	2	806.17718447	998.85566158	10	9001	11	1000	9	12	1	1.02	1020	12225993.3	0	4278.75	886.88	5165.63
"27"	10	53	8	5	9	1	2	806.17718447	998.85566158	10	9001	11	1000	10	12	1	1.02	1020	12225993.3	0	8865.56	3.32	8868.88
"28"	10	53	9	3	11	1	2	1096.01433692	1357.96465926	10	9001	11	900	1	12	1	1	900	14666018.32	0	10798.1	883.84	11681.94
"29"	10	53	9	3	3	1	2	1096.01433692	1357.96465926	10	9001	11	999999.99	4	12	1	0.99	693	11292834.11	1	11100	634.21	11734.21
"30"	10	53	9	3	9	1	2	1096.01433692	1357.96465926	10	9001	11	200	12	12	1	1	200	3259115.18	0	7143.4	2.6	7146
"31"	10	53	10	7	5	1	2	2697.14328269	3341.76765348	10	9001	11	1000	12	12	1	1	1000	40101211.84	0	1932.79	960.06	2892.85
"32"	10	53	10	7	7	1	2	2697.14328269	3341.76765348	10	9001	11	1300	4	12	1	0.99	1287	51610259.64	0	4390.83	1191	5581.83
"33"	10	53	10	7	9	1	2	2697.14328269	3341.76765348	10	9001	11	800	12	12	1	1	800	32080969.47	0	5673.78	955.89	6629.66
"34"	10	53	11	5	10	1	2	789.76507937	978.52102	10	9001	11	999999.99	2	12	1	1	204	2395419.46	1	465	251.25	716.25
"35"	10	53	11	5	11	1	2	789.76507937	978.52102	10	9001	11	1000	3	12	1	1	1000	11742252.24	0	4072.94	1000	5072.94
"36"	10	53	11	5	12	1	2	789.76507937	978.52102	10	9001	11	2000	2	12	1	1	2000	23484504.48	0	14550	1670	16220
"37"	10	53	11	5	14	1	2	789.76507937	978.52102	10	9001	11	999999.99	3	12	1	1	816	9581677.83	1	4000	549.76	4549.76
"38"	10	53	11	5	16	1	2	789.76507937	978.52102	10	9001	11	999999.99	3	12	1	1	408	4790838.91	1	2760.26	408	3168.26
"39"	10	53	11	5	3	1	2	789.76507937	978.52102	10	9001	11	2000	1	12	1	1	2000	23484504.48	0	11357	1931.33	13288.33
"40"	10	53	11	5	6	1	2	789.76507937	978.52102	10	9001	11	250	2	12	1	1	250	2935563.06	0	5494.12	250	5744.12
"41"	10	53	12	3	11	1	2	547.72313297	678.63040891	10	9001	11	1400	3	12	1	1	1400	11400990.87	0	1369.95	1380.13	2750.07
"42"	10	53	12	3	13	1	2	547.72313297	678.63040891	10	9001	11	1200	3	12	1	1	1200	9772277.89	0	7138.8	1094.27	8233.07
"43"	10	53	12	3	14	1	2	547.72313297	678.63040891	10	9001	11	500	3	12	1	1	500	4071782.45	0	2948.58	400.13	3348.71
"44"	10	53	12	3	15	1	2	547.72313297	678.63040891	10	9001	11	1000	3	12	1	1	1000	8143564.91	0	2101.18	939.34	3040.52
"45"	10	53	12	3	16	1	2	547.72313297	678.63040891	10	9001	11	2000	3	12	1	1	2000	16287129.81	0	9910.73	1895.49	11806.22
"46"	10	53	12	3	17	1	2	547.72313297	678.63040891	10	9001	11	3000	4	12	1	0.99	2970	24186387.77	0	7866.27	2145.12	10011.38
"47"	10	53	12	3	18	1	2	547.72313297	678.63040891	10	9001	11	800	4	12	1	0.99	792	6449703.41	0	7929.68	290.78	8220.46
"48"	10	53	12	3	2	1	2	547.72313297	678.63040891	10	9001	11	2000	1	12	1	1	2000	16287129.81	0	1724.03	1861.28	3585.31
"49"	10	53	12	3	20	1	2	547.72313297	678.63040891	10	9001	11	900	4	12	1	0.99	891	7255916.33	0	1200.53	1465.11	2665.64
"50"	10	53	12	3	4	1	2	547.72313297	678.63040891	10	9001	11	1500	1	12	1	1	1500	12215347.36	0	1955.75	1395.08	3350.83
"51"	10	53	12	3	5	1	2	547.72313297	678.63040891	10	9001	11	450	2	12	1	1	450	3664604.21	0	1630.9	450	2080.9
"52"	10	53	13	1	1	1	3	597.61338879	740.44456769	10	9001	11	800	4	12	1	1.04	832	7392598.56	0	1623.4	832	2455.4
"53"	10	53	13	1	2	1	3	597.61338879	740.44456769	10	9001	11	650	4	12	1	1.04	676	6006486.33	0	5458.25	653.81	6112.06
"54"	10	53	13	1	5	1	3	597.61338879	740.44456769	10	9001	11	1500	5	12	1	1.03	1545	13727842.28	0	23101.05	1547.34	24648.39
"55"	10	53	13	1	6	1	3	597.61338879	740.44456769	10	9001	11	550	5	12	1	1.03	566.5	5033542.17	0	2852.9	566.5	3419.4
"56"	10	53	13	1	8	1	3	597.61338879	740.44456769	10	9001	11	450	6	12	1	1.02	459	4078368.68	0	1503.48	435.47	1938.94
"57"	10	53	14	0	1	1	3	745	923.05696839	10	9001	11	700	5	12	1	1.03	721	7986288.89	0	20432.47	681.52	21113.99
"58"	10	53	14	0	10	1	3	745	923.05696839	10	9001	11	1200	6	12	1	1.02	1224	13557860.75	0	18624.41	244.34	18868.75
"59"	10	53	14	0	4	1	3	745	923.05696839	10	9001	11	1600	5	12	1	1.03	1648	18254374.61	0	3461.08	1588.69	5049.77
"60"	10	53	14	0	8	1	3	745	923.05696839	10	9001	11	1100	5	12	1	1.03	1133	12549882.54	0	1075.78	1172.05	2247.83
"61"	10	53	15	8	1	1	3	453.29347319	561.63181095	10	9001	11	500	5	12	1	1.03	515	3470884.59	0	1658.82	371.9	2030.71
"62"	10	53	15	8	10	1	3	453.29347319	561.63181095	10	9001	11	400	6	12	1	1.02	408	2749749.35	0	764.78	586.33	1351.11
"63"	10	53	15	8	13	1	3	453.29347319	561.63181095	10	9001	11	600	6	12	1	1.02	612	4124624.02	0	8800.45	560.5	9360.95
"64"	10	53	15	8	2	1	3	453.29347319	561.63181095	10	9001	11	600	5	12	1	1.03	618	4165061.51	0	5883.78	561.47	6445.24
"65"	10	53	15	8	3	1	3	453.29347319	561.63181095	10	9001	11	400	5	12	1	1.03	412	2776707.67	0	6092.27	400.41	6492.68
"66"	10	53	15	8	4	1	3	453.29347319	561.63181095	10	9001	11	999999.99	5	12	1	1.03	408	2749749.35	1	11013.07	431.2	11444.27
"67"	10	53	15	8	5	1	3	453.29347319	561.63181095	10	9001	11	700	5	12	1	1.03	721	4859238.43	0	1268.24	587.88	1856.12
"68"	10	53	15	8	6	1	3	453.29347319	561.63181095	10	9001	11	250	6	12	1	1.02	255	1718593.34	0	1965.05	219.99	2185.04
"69"	10	53	15	8	7	1	3	453.29347319	561.63181095	10	9001	11	450	6	12	1	1.02	459	3093468.01	0	2058.15	445.61	2503.76
"70"	10	53	16	6	1	1	3	1044.89207584	1294.62404271	10	9001	11	800	4	12	1	1.04	832	12925526.44	0	3832.5	829.34	4661.84
"71"	10	53	16	6	10	1	3	1044.89207584	1294.62404271	10	9001	11	600	5	12	1	1.03	618	9600931.9	0	22906.81	664.28	23571.1
"72"	10	53	16	6	11	1	3	1044.89207584	1294.62404271	10	9001	11	700	5	12	1	1.03	721	11201087.22	0	24535.79	763.08	25298.87
