"tipo_reg"	"cod_uf"	"num_seq"	"num_dv"	"cod_domc"	"num_uc"	"num_ext_renda"	"fator_expansao1"	"fator_expansao2"	"num_quadro"	"prod_num_quadro_grupo_pro"	"cod_item"	"cod_obtencao"	"val_despesa"	"fator_anual"	"num_deflator"	"val_despesa_corrigido"	"valor_anual_expandido2"	"cod_imput"	"renda_bruta_monetaria"	"renda_bruta_nao_monetaria"	"renda_total"	"metodo_quantkg"	"quant_kg"	"cod_local_compra"	"qtd_item"	"cod_unidade_medida"	"cod_peso_volume"
"1"	11	53	14	0	10	1	3	745	923.05696839	63	65	2402	1	7	52	1.02	7.14	342712.59	0	18624.41	244.34	18868.75	0	0.5	1001	5	4504	0
"2"	11	53	14	0	10	1	3	745	923.05696839	64	65	2101	5	12.96	52	1.02	13.22	634546.28	0	18624.41	244.34	18868.75	0	0.8	101	0.02	1004	4301
"3"	11	53	14	0	10	1	3	745	923.05696839	64	69	821	5	1.17	52	1.02	1.19	57118.77	0	18624.41	244.34	18868.75	0	0.2	101	0.01	1001	6901
"4"	11	53	14	0	10	1	3	745	923.05696839	64	80	2204	5	2.87	52	0.99	2.84	136317.05	0	18624.41	244.34	18868.75	0	0.4	101	4	4504	0
"5"	11	53	14	0	10	1	3	745	923.05696839	64	64	101	5	2.6	52	0.99	2.57	123357.33	0	18624.41	244.34	18868.75	0	1.75	101	0.02	4808	0
"6"	11	53	14	0	10	1	3	745	923.05696839	64	78	3301	5	2.89	52	1	2.89	138717	0	18624.41	244.34	18868.75	4	0.624	101	0.01	701	0
"7"	11	53	14	0	10	1	3	745	923.05696839	64	78	703	5	8.92	52	1	8.92	428150.74	0	18624.41	244.34	18868.75	0	1	101	0.01	4807	0
"8"	11	53	14	0	10	1	3	745	923.05696839	64	82	101	5	2.79	52	1.04	2.9	139196.99	0	18624.41	244.34	18868.75	0	2	101	0.01	904	13502
"9"	11	53	14	0	11	1	3	745	923.05696839	63	89	501	1	3	52	1.02	3.06	146876.82	3	1195.13	0	1195.13	-2	0	6804	0	0	0
"10"	11	53	14	0	11	1	3	745	923.05696839	65	63	3401	1	15.7	52	0.97	15.23	731024.2	3	1195.13	0	1195.13	0	10	101	0.02	3104	802
"11"	11	53	14	0	11	1	3	745	923.05696839	65	63	1501	1	6.58	52	0.93	6.12	293753.65	3	1195.13	0	1195.13	0	2	101	0.02	3104	1702
"12"	11	53	14	0	11	1	3	745	923.05696839	65	89	802	1	5.77	52	1.03	5.94	285113.84	3	1195.13	0	1195.13	-2	0	101	0	0	0
"13"	11	53	14	0	11	1	3	745	923.05696839	65	79	1201	1	2.49	52	0.97	2.42	116157.49	3	1195.13	0	1195.13	0	0.6	101	0.01	3701	3001
"14"	11	53	14	0	11	1	3	745	923.05696839	65	89	301	1	1.78	52	1.09	1.94	93117.99	3	1195.13	0	1195.13	-2	0	101	0	0	0
"15"	11	53	14	0	11	1	3	745	923.05696839	65	80	2204	1	1.99	52	0.98	1.95	93597.98	3	1195.13	0	1195.13	0	0.4	101	0.01	1301	4301
"16"	11	53	14	0	11	1	3	745	923.05696839	65	69	821	1	2.99	52	1.02	3.05	146396.84	3	1195.13	0	1195.13	0	0.4	101	0.01	1001	4301
"17"	11	53	14	0	11	1	3	745	923.05696839	65	70	8301	1	1.59	52	1.05	1.67	80158.27	3	1195.13	0	1195.13	0	0.3	101	0.01	2202	5401
"18"	11	53	14	0	11	1	3	745	923.05696839	65	89	105	1	2.99	52	1	2.99	143516.9	3	1195.13	0	1195.13	-2	0	101	0	0	0
"19"	11	53	14	0	11	1	3	745	923.05696839	65	70	4702	1	0.98	52	1.05	1.03	49438.93	3	1195.13	0	1195.13	0	0.13	101	0.01	1001	8301
"20"	11	53	14	0	11	1	3	745	923.05696839	65	86	2411	1	2.29	52	1.05	2.4	115197.51	3	1195.13	0	1195.13	-2	0	101	0	0	0
"21"	11	53	14	0	11	1	3	745	923.05696839	65	84	301	1	2.49	52	0.83	2.07	99357.85	3	1195.13	0	1195.13	0	0.9	101	0.01	901	14501
"22"	11	53	14	0	11	1	3	745	923.05696839	66	67	101	1	0.6	52	1.08	0.65	31199.33	3	1195.13	0	1195.13	4	0.2	1001	0.01	1701	0
"23"	11	53	14	0	11	1	3	745	923.05696839	66	64	601	1	1	52	1.02	1.02	48958.94	3	1195.13	0	1195.13	0	1	1001	0.01	4803	0
"24"	11	53	14	0	11	1	3	745	923.05696839	66	67	1201	1	0.5	52	1.1	0.55	26399.43	3	1195.13	0	1195.13	4	0.085	1001	0.01	1101	0
"25"	11	53	14	0	11	1	3	745	923.05696839	67	86	1801	1	2.59	52	0.98	2.54	121917.36	3	1195.13	0	1195.13	-2	0	101	0	0	0
"26"	11	53	14	0	11	1	3	745	923.05696839	63	90	301	1	20	52	1.01	20.2	969579.04	3	1195.13	0	1195.13	-1	0	12501	0.01	1901	0
"27"	11	53	14	0	12	1	3	745	923.05696839	63	80	101	1	1.4	52	1	1.4	67198.55	0	847.05	257.28	1104.34	0	0.25	301	0.05	1903	11401
"28"	11	53	14	0	12	1	3	745	923.05696839	69	71	402	1	11	52	1.11	12.21	586067.33	0	847.05	257.28	1104.34	0	1	901	0.01	4807	0
"29"	11	53	14	0	12	1	3	745	923.05696839	64	80	101	1	1.4	52	1	1.4	67198.55	0	847.05	257.28	1104.34	0	0.25	301	0.05	1901	11401
"30"	11	53	14	0	12	1	3	745	923.05696839	65	71	1601	1	11	52	1.07	11.77	564947.79	0	847.05	257.28	1104.34	0	1	101	0.01	4807	0
"31"	11	53	14	0	12	1	3	745	923.05696839	67	80	101	1	1.4	52	1	1.4	67198.55	0	847.05	257.28	1104.34	0	0.25	301	0.05	1901	11401
"32"	11	53	14	0	12	1	3	745	923.05696839	69	80	101	1	1.4	52	1	1.4	67198.55	0	847.05	257.28	1104.34	0	0.25	301	0.05	1903	11401
"33"	11	53	14	0	12	1	3	745	923.05696839	69	64	601	1	0.5	52	1.02	0.51	24479.47	0	847.05	257.28	1104.34	0	0.5	101	5	4504	0
"34"	11	53	14	0	12	1	3	745	923.05696839	69	67	4101	1	0.5	52	1.02	0.51	24479.47	0	847.05	257.28	1104.34	0	0.5	101	5	4504	0
"35"	11	53	14	0	12	1	3	745	923.05696839	65	80	101	1	1.4	52	1	1.4	67198.55	0	847.05	257.28	1104.34	0	0.25	301	0.05	1901	11401
"36"	11	53	14	0	4	1	3	745	923.05696839	66	80	2350	1	2.99	52	1.01	3.02	144956.87	0	3461.08	1588.69	5049.77	0	0.4	101	0.01	1301	4302
"37"	11	53	14	0	4	1	3	745	923.05696839	64	68	1401	1	2.2	52	0.99	2.18	104637.74	0	3461.08	1588.69	5049.77	0	2.025	101	20.25	4504	0
"38"	11	53	14	0	4	1	3	745	923.05696839	64	71	402	1	10	52	1.14	11.4	547188.17	0	3461.08	1588.69	5049.77	0	1	101	0.01	4802	0
"39"	11	53	14	0	4	1	3	745	923.05696839	64	78	504	1	5.51	52	1.01	5.57	267354.22	0	3461.08	1588.69	5049.77	0	1	101	0.01	4803	0
"40"	11	53	14	0	4	1	3	745	923.05696839	64	86	201	1	1.69	52	1	1.69	81118.25	0	3461.08	1588.69	5049.77	-2	0	101	0	0	0
"41"	11	53	14	0	4	1	3	745	923.05696839	64	82	301	1	1.99	52	1.04	2.07	99357.85	0	3461.08	1588.69	5049.77	0	2	101	0.01	1901	13504
"42"	11	53	14	0	4	1	3	745	923.05696839	64	82	2501	1	9.98	52	0.98	9.78	469429.85	0	3461.08	1588.69	5049.77	0	2	101	0.02	1305	1704
