"tipo_reg"	"cod_uf"	"num_seq"	"num_dv"	"cod_domc"	"num_uc"	"num_informante"	"num_ext_renda"	"fator_expansao1"	"fator_expansao2"	"cod_cond_vida"	"cod_qtd_ali"	"cod_tip_ali"	"renda_bruta_monetaria"	"renda_bruta_nao_monetaria"	"renda_total"	"val_rend_min"	"val_rec_min_ali"	"cod_raz_nao_ali"	"cod_cond_serv_agua"	"cod_cond_col_lixo"	"cod_cond_ilu_rua"	"cod_limpeza"	"cod_cond_dren_chuv"	"cod_forn_ener_elet"	"cod_transporte"	"cod_educacao"	"cod_saude"	"cod_lazeresporte"	"cod_esgotamento"	"cod_pouco_espaco"	"cod_viz_barulhe"	"cod_casa_escura"	"cod_telhado_got"	"cod_par_chao_umid"	"cod_made_deteriora"	"cod_pol_tran_indu"	"cod_vio_area_resid"	"cod_inundacoes"	"cod_cond_morada"	"cod_atraso_alug"	"cod_atraso_desp"	"cod_atraso_pres"
"1"	4	53	1	8	1	1	2	1	790.70992149	979.69168189	4	2	2	4355.6	330.33	4685.93	3500	1500	1	1	1	1	1	1	1	2	2	2	2	1	1	2	2	1	2	1	2	1	2	3	2	1	1
"2"	4	53	1	8	10	1	1	1	790.70992149	979.69168189	3	3	2	1635.11	820.21	2455.32	1800	450	2	1	1	1	2	2	1	2	1	1	1	2	1	1	2	1	1	2	1	1	2	1	3	2	2
"3"	4	53	1	8	3	1	2	1	790.70992149	979.69168189	1	3	2	2323.77	15.21	2338.98	2550	600	1	1	1	2	1	1	1	2	1	2	1	1	2	2	2	2	2	2	2	2	2	1	2	1	2
"4"	4	53	1	8	4	1	2	1	790.70992149	979.69168189	3	3	1	3926.94	27.81	3954.75	3000	500	0	1	1	1	1	1	1	2	1	1	3	2	2	1	2	1	2	2	2	1	2	1	3	1	2
"5"	4	53	1	8	5	1	1	1	790.70992149	979.69168189	5	3	1	1475	0	1475	1500	200	0	1	1	1	2	1	1	2	2	2	3	1	1	2	2	2	2	2	2	2	2	2	2	2	2
"6"	4	53	1	8	7	1	1	1	790.70992149	979.69168189	1	3	1	800	0	800	0	1500	0	1	1	1	2	1	1	2	2	2	2	1	1	2	1	1	1	1	1	2	2	3	1	1	1
"7"	4	53	1	8	8	1	3	1	790.70992149	979.69168189	2	3	2	3769.05	1516.1	5285.15	4000	1000	1	1	1	1	2	1	1	2	2	2	2	1	2	1	2	2	2	2	1	1	2	2	3	1	1
"8"	4	53	1	8	9	1	2	1	790.70992149	979.69168189	3	3	2	1785	0	1785	1000	500	1	1	1	1	1	2	1	2	1	2	3	1	1	1	2	2	2	2	1	1	2	1	2	1	2
"9"	4	53	2	6	11	1	2	1	4304.06036872	5332.74216876	1	1	2	394.6	1699.44	2094.04	1000	600	1	1	1	1	1	2	1	2	1	2	3	1	1	2	1	1	1	1	1	2	1	1	3	1	1
"10"	4	53	2	6	8	1	1	1	4304.06036872	5332.74216876	4	3	1	1209.67	223.2	1432.87	0	0	0	1	1	1	2	1	1	3	3	1	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2
