"tipo_reg"	"cod_uf"	"num_seq"	"num_dv"	"cod_domc"	"num_uc"	"num_informante"	"num_ext_renda"	"fator_expansao1"	"fator_expansao2"	"num_quadro"	"local"	"horario"	"qtd_item"	"cod_unidade"	"cod_item"	"cod_preparacao"	"cod_imput"	"qtd_imput"	"utiliza_frequentemente"	"renda_bruta_monetaria"	"renda_bruta_nao_monetaria"	"renda_total"	"cod_unidade_medida2"	"qtd_unid_med"	"qtd_final"	"dia_da_semana"
"1"	16	53	18	2	9	1	2	3	2387.7667437	3241.184915	71	1	19	1	87	8500801	99	0	1	2	3060	309.5	3369.5	87	42	42	3
"2"	16	53	18	2	9	1	2	3	2387.7667437	3241.184915	71	1	22	1	103	7901201	99	0	1	2	3060	309.5	3369.5	90	200	200	3
"3"	16	53	18	2	9	1	2	3	2387.7667437	3241.184915	71	1	22	1	103	6803001	99	0	1	2	3060	309.5	3369.5	103	150	150	3
"4"	16	53	18	2	9	1	2	3	2387.7667437	3241.184915	72	1	8	1	22	8501302	99	0	1	2	3060	309.5	3369.5	22	240	240	6
"5"	16	53	18	2	9	1	2	3	2387.7667437	3241.184915	72	1	10	1	103	6801101	1	0	1	2	3060	309.5	3369.5	103	75	75	6
"6"	16	53	18	2	9	1	2	3	2387.7667437	3241.184915	72	1	12	3	16	6300201	99	0	3	2	3060	309.5	3369.5	16	20	60	6
"7"	16	53	18	2	9	1	2	3	2387.7667437	3241.184915	72	1	12	1	17	7104301	2	0	1	2	3060	309.5	3369.5	17	120	120	6
"8"	16	53	18	2	9	1	2	3	2387.7667437	3241.184915	72	1	20	1	22	8501903	99	0	1	2	3060	309.5	3369.5	22	240	240	6
"9"	16	53	18	2	9	1	2	3	2387.7667437	3241.184915	72	1	20	1	22	8503202	99	0	1	2	3060	309.5	3369.5	22	325	325	6
"10"	16	53	18	2	9	1	2	3	2387.7667437	3241.184915	72	1	21	3	16	6304401	99	0	3	2	3060	309.5	3369.5	16	20	60	6
"11"	16	53	18	2	9	1	2	3	2387.7667437	3241.184915	72	1	21	2	16	6303102	99	0	2	2	3060	309.5	3369.5	16	17	34	6
