"tipo_reg"	"cod_uf"	"num_seq"	"num_dv"	"cod_domc"	"num_uc"	"num_ext_renda"	"fator_expansao1"	"fator_expansao2"	"num_quadro"	"cod_item"	"cod_obtencao"	"val_despesa"	"mes"	"qtd_meses"	"fator_anual"	"num_deflator"	"val_despesa_corrigido"	"valor_anual_expandido2"	"cod_imput"	"renda_bruta_monetaria"	"renda_bruta_nao_monetaria"	"renda_total"	"cod_local_compra"
"1"	7	53	1	8	2	1	1	790.70992149	979.69168189	10	101	1	200	4	12	1	1.07	214	2515848.24	0	1924.13	0	1924.13	7508
"2"	7	53	1	8	3	1	1	790.70992149	979.69168189	10	101	1	400	5	12	1	1.06	424	4984671.28	0	2323.77	15.21	2338.98	7502
"3"	7	53	1	8	5	1	1	790.70992149	979.69168189	10	101	1	200	5	12	1	1.06	212	2492335.64	0	1475	0	1475	7501
"4"	7	53	1	8	7	1	1	790.70992149	979.69168189	10	101	1	400	6	12	1	1.06	424	4984671.28	0	800	0	800	7501
"5"	7	53	1	8	7	1	1	790.70992149	979.69168189	10	501	3	388	6	6	1	1.03	399.64	2349143.9	0	800	0	800	8303
"6"	7	53	1	8	8	1	1	790.70992149	979.69168189	10	501	3	999999.99	1	6	1	1.07	27.81	163471.35	1	3769.05	1516.1	5285.15	8303
"7"	7	53	1	8	9	1	1	790.70992149	979.69168189	10	101	1	300	6	8	1	1.06	318	2492335.64	0	1785	0	1785	7501
"8"	7	53	2	6	8	1	1	4304.06036872	5332.74216876	10	401	1	70	6	12	1	1.05	73.5	4703478.59	0	1209.67	223.2	1432.87	7501
"9"	7	53	2	6	8	1	1	4304.06036872	5332.74216876	10	501	1	360	12	12	1	1.08	388.8	24880441.86	0	1209.67	223.2	1432.87	8303
"10"	7	53	4	2	13	1	1	1030.08969936	1276.28385915	10	501	1	120	2	12	1	1.06	127.2	1948119.68	0	1510	0	1510	8303
"11"	7	53	4	2	13	1	1	1030.08969936	1276.28385915	12	1001	1	7	0	0	1	1.03	7.21	9202.01	0	1510	0	1510	0
"12"	7	53	4	2	2	1	1	1030.08969936	1276.28385915	11	2201	1	50	0	0	1	1.07	53.5	68281.19	3	170.13	288.2	458.33	2101
"13"	7	53	4	2	2	1	1	1030.08969936	1276.28385915	11	501	1	50	0	0	1	1.07	53.5	68281.19	3	170.13	288.2	458.33	2101
"14"	7	53	4	2	2	1	1	1030.08969936	1276.28385915	11	1301	1	200	0	0	1	1.07	214	273124.75	3	170.13	288.2	458.33	2101
"15"	7	53	4	2	2	1	1	1030.08969936	1276.28385915	10	501	3	40	8	12	1	1.02	40.8	624868.58	3	170.13	288.2	458.33	8302
"16"	7	53	4	2	5	1	1	1030.08969936	1276.28385915	10	501	1	112	5	1	1	1.03	115.36	147232.11	0	356.8	247.12	603.92	8303
"17"	7	53	4	2	9	1	1	1030.08969936	1276.28385915	12	1003	1	6.9	0	0	1	1.04	7.18	9163.72	0	2496.27	400.19	2896.46	0
"18"	7	53	4	2	9	1	1	1030.08969936	1276.28385915	10	501	1	21	7	12	1	1.03	21.63	331272.24	0	2496.27	400.19	2896.46	8303
"19"	7	53	5	0	11	1	1	947.38889615	1173.81734545	10	101	1	350	12	12	1	1.01	353.5	4979333.18	0	1162.22	25.08	1187.3	7508
"20"	7	53	5	0	12	1	1	947.38889615	1173.81734545	10	401	1	80	2	12	1	1.07	85.6	1205745.18	0	2096.5	0	2096.5	3701
"21"	7	53	5	0	12	1	1	947.38889615	1173.81734545	10	101	1	450	2	12	1	1.07	481.5	6782316.62	0	2096.5	0	2096.5	3701
"22"	7	53	5	0	14	1	1	947.38889615	1173.81734545	11	2901	4	999999.99	0	0	1	1.03	315	369752.46	3	1500	0	1500	2101
"23"	7	53	5	0	5	1	1	947.38889615	1173.81734545	10	101	1	240	11	12	1	1.02	244.8	3448205.83	0	868.35	15.75	884.1	7508
"24"	7	53	5	0	8	1	1	947.38889615	1173.81734545	11	2901	4	999999.99	0	0	1	1.03	315	369752.46	3	488.83	19.28	508.11	2101
"25"	7	53	5	0	9	1	1	947.38889615	1173.81734545	10	101	1	360	12	12	1	1.01	363.6	5121599.84	0	1825.4	19.4	1844.8	7508
"26"	7	53	6	9	11	1	1	974.80523604	1207.78626303	10	401	3	200	4	12	1	0.96	192	2782739.55	0	5050	660.92	5710.92	5801
"27"	7	53	6	9	11	1	1	974.80523604	1207.78626303	10	501	1	385	1	1	1	1	385	464997.71	0	5050	660.92	5710.92	8303
"28"	7	53	6	9	12	1	1	974.80523604	1207.78626303	10	401	1	180	4	12	1	0.96	172.8	2504465.6	0	3779	920.33	4699.33	5801
"29"	7	53	6	9	12	1	1	974.80523604	1207.78626303	10	501	1	356	1	1	1	1	356	429971.91	0	3779	920.33	4699.33	8303
"30"	7	53	6	9	4	1	1	974.80523604	1207.78626303	10	101	1	700	2	12	1	0.99	693	10043950.56	0	3792.67	22.19	3814.86	7501
"31"	7	53	7	7	1	1	2	708.30786026	877.59531031	10	101	1	805	4	1	1	1.07	861.35	755916.72	0	12066.23	0	12066.23	7501
"32"	7	53	7	7	1	1	2	708.30786026	877.59531031	12	401	1	350	0	0	1	1.07	374.5	328659.44	0	12066.23	0	12066.23	0
"33"	7	53	7	7	11	1	2	708.30786026	877.59531031	10	401	1	170	7	6	1	1.05	178.5	939904.58	0	3998.24	95.64	4093.87	5801
"34"	7	53	7	7	11	1	2	708.30786026	877.59531031	10	101	1	600	7	6	1	1.05	630	3317310.27	0	3998.24	95.64	4093.87	7508
"35"	7	53	7	7	2	1	2	708.30786026	877.59531031	10	501	1	92	4	12	1	1.04	95.68	1007619.83	0	1801	783.32	2584.32	8202
"36"	7	53	7	7	6	1	2	708.30786026	877.59531031	10	201	1	317.82	5	12	1	1.03	327.35	3447369.9	0	16671.08	739.54	17410.62	3701
