"tipo_reg"	"cod_uf"	"num_seq"	"num_dv"	"cod_domc"	"num_uc"	"num_ext_renda"	"fator_expansao1"	"fator_expansao2"	"num_quadro"	"cod_item"	"cod_obtencao"	"val_despesa"	"fator_anual"	"num_deflator"	"val_despesa_corrigido"	"valor_anual_expandido2"	"cod_imput"	"renda_bruta_monetaria"	"renda_bruta_nao_monetaria"	"renda_total"	"qtd_item"	"cod_unidade_medida"	"cod_peso_volume"	"quantidade_final"	"cod_imput_quant"	"cod_local_compra"
"1"	6	53	1	8	1	1	1	790.70992149	979.69168189	7	101	1	34	4	1.02	34.68	135902.83	0	4355.6	330.33	4685.93	1	9201	36105	13	0	2007
"2"	6	53	1	8	1	1	1	790.70992149	979.69168189	6	901	0	180	12	1	180	2116134.03	0	4355.6	330.33	4685.93	0	0	0	0	0	0
"3"	6	53	1	8	1	1	1	790.70992149	979.69168189	6	201	0	65.8	12	0.98	64.48	758046.24	0	4355.6	330.33	4685.93	181	0	0	181	0	0
"4"	6	53	1	8	1	1	1	790.70992149	979.69168189	6	101	0	192.9	12	1	192.9	2267790.31	0	4355.6	330.33	4685.93	42	0	0	42	0	0
"5"	6	53	1	8	10	1	1	790.70992149	979.69168189	6	201	0	70	12	0.98	68.6	806482.19	0	1635.11	820.21	2455.32	9999	0	0	230	1	0
"6"	6	53	1	8	10	1	1	790.70992149	979.69168189	6	101	0	48	12	1	48	564302.41	0	1635.11	820.21	2455.32	9999	0	0	18	1	0
"7"	6	53	1	8	10	1	1	790.70992149	979.69168189	8	1001	1	2.3	4	1.08	2.48	9718.54	0	1635.11	820.21	2455.32	0	0	0	0	0	2101
"8"	6	53	1	8	10	1	1	790.70992149	979.69168189	7	101	1	38	4	0.99	37.62	147424	0	1635.11	820.21	2455.32	4	9203	36101	52	0	1013
"9"	6	53	1	8	2	1	1	790.70992149	979.69168189	8	1301	1	4	4	1.1	4.4	17242.57	0	1924.13	0	1924.13	0	0	0	0	0	7501
"10"	6	53	1	8	2	1	1	790.70992149	979.69168189	6	201	0	13.48	12	0.98	13.21	155300.73	0	1924.13	0	1924.13	77	0	0	77	0	0
"11"	6	53	1	8	2	1	1	790.70992149	979.69168189	6	101	0	999999.99	12	1	38	446739.41	1	1924.13	0	1924.13	14	0	0	14	0	0
"12"	6	53	1	8	3	1	1	790.70992149	979.69168189	9	5601	1	30	4	1.04	31.2	122265.52	0	2323.77	15.21	2338.98	0	0	0	0	0	7501
"13"	6	53	1	8	3	1	1	790.70992149	979.69168189	7	101	1	38	4	1.02	38.76	151891.4	0	2323.77	15.21	2338.98	2	9203	36101	26	0	1013
"14"	6	53	1	8	3	1	1	790.70992149	979.69168189	6	801	0	100	12	1	100	1175630.02	0	2323.77	15.21	2338.98	0	0	0	0	0	0
"15"	6	53	1	8	3	1	1	790.70992149	979.69168189	6	201	0	39	12	0.98	38.22	449325.79	0	2323.77	15.21	2338.98	9999	0	0	150	1	0
"16"	6	53	1	8	3	1	1	790.70992149	979.69168189	6	101	0	50	12	1	50	587815.01	0	2323.77	15.21	2338.98	9999	0	0	19	1	0
"17"	6	53	1	8	4	1	1	790.70992149	979.69168189	7	101	1	140	4	1.02	142.8	559599.89	0	3926.94	27.81	3954.75	4	9201	36101	52	0	1013
"18"	6	53	1	8	4	1	1	790.70992149	979.69168189	8	99901	1	999999.99	4	1.05	6120	23982852.37	1	3926.94	27.81	3954.75	0	0	0	0	0	7501
"19"	6	53	1	8	4	1	1	790.70992149	979.69168189	6	201	0	76	12	0.98	74.48	875609.24	0	3926.94	27.81	3954.75	9999	0	0	262	1	0
"20"	6	53	1	8	4	1	1	790.70992149	979.69168189	8	1301	1	5000	4	1.09	5450	21357278.67	0	3926.94	27.81	3954.75	0	0	0	0	0	7501
"21"	6	53	1	8	4	1	1	790.70992149	979.69168189	6	101	0	39	12	1	39	458495.71	0	3926.94	27.81	3954.75	9999	0	0	15	1	0
"22"	6	53	1	8	4	1	1	790.70992149	979.69168189	6	401	0	110	12	1.02	112.2	1319056.88	0	3926.94	27.81	3954.75	0	0	0	0	0	0
"23"	6	53	1	8	5	1	1	790.70992149	979.69168189	7	101	1	38	4	1.01	38.38	150402.27	0	1475	0	1475	1	9201	36105	13	0	2007
"24"	6	53	1	8	5	1	1	790.70992149	979.69168189	6	201	0	20	12	0.98	19.6	230423.48	0	1475	0	1475	9999	0	0	83	1	0
"25"	6	53	1	8	7	1	1	790.70992149	979.69168189	7	101	1	134	4	1	134	525114.74	0	800	0	800	3	9203	36105	39	0	2007
"26"	6	53	1	8	7	1	1	790.70992149	979.69168189	6	201	0	207	12	0.98	202.86	2384883.06	0	800	0	800	508	0	0	508	0	0
"27"	6	53	1	8	7	1	1	790.70992149	979.69168189	6	101	0	72	12	1	72	846453.61	0	800	0	800	9999	0	0	28	1	0
"28"	6	53	1	8	7	1	1	790.70992149	979.69168189	6	901	0	219	12	1	219	2574629.74	0	800	0	800	0	0	0	0	0	0
"29"	6	53	1	8	8	1	1	790.70992149	979.69168189	6	201	0	120.27	12	0.98	117.86	1385597.54	0	3769.05	1516.1	5285.15	316	0	0	316	0	0
