"tipo_reg"	"cod_uf"	"num_seq"	"num_dv"	"cod_domc"	"num_uc"	"num_inf"	"num_ext_renda"	"fator_expansao1"	"fator_expansao2"	"num_quadro"	"cod_item"	"cod_obtencao"	"val_despesa"	"fator_anual"	"num_deflator"	"val_despesa_corrigido"	"valor_anual_expandido2"	"cod_imput"	"renda_bruta_monetaria"	"renda_bruta_nao_monetaria"	"renda_total"	"cod_caracteristica"	"cod_local_compra"	"cod_motivo"	"uf_despesa"
"1"	12	53	1	8	1	1	1	1	790.70992149	979.69168189	50	401	1	999999.99	1	1.03	292.9	286951.69	1	4355.6	330.33	4685.93	0	0	-1	-1
"2"	12	53	1	8	1	1	1	1	790.70992149	979.69168189	23	701	1	60	52	1.04	62.4	3178903.57	0	4355.6	330.33	4685.93	0	0	-1	-1
"3"	12	53	1	8	1	1	1	1	790.70992149	979.69168189	28	1101	1	20	12	0.9	18	211613.4	0	4355.6	330.33	4685.93	0	9701	-1	-1
"4"	12	53	1	8	1	1	1	1	790.70992149	979.69168189	43	4201	1	600	4	1.03	618	2421797.84	0	4355.6	330.33	4685.93	0	6102	-1	-1
"5"	12	53	1	8	1	1	1	1	790.70992149	979.69168189	49	3202	1	40	1	1.07	42.8	41930.8	0	4355.6	330.33	4685.93	0	3002	-1	-1
"6"	12	53	1	8	1	1	2	1	790.70992149	979.69168189	41	601	1	200	4	1.07	214	838616.08	0	4355.6	330.33	4685.93	0	0	6	52
"7"	12	53	1	8	1	1	2	1	790.70992149	979.69168189	29	101	1	5	12	1.02	5.1	59957.13	0	4355.6	330.33	4685.93	1	1306	-1	-1
"8"	12	53	1	8	1	1	2	1	790.70992149	979.69168189	30	501	1	6	12	0.99	5.94	69832.42	0	4355.6	330.33	4685.93	0	101	-1	-1
"9"	12	53	1	8	1	1	2	1	790.70992149	979.69168189	30	601	1	2.5	12	1.11	2.78	32682.51	0	4355.6	330.33	4685.93	0	101	-1	-1
"10"	12	53	1	8	1	1	2	1	790.70992149	979.69168189	31	301	1	10	4	1.12	11.2	43890.19	0	4355.6	330.33	4685.93	0	0	-1	-1
"11"	12	53	1	8	1	1	2	1	790.70992149	979.69168189	32	601	1	24	4	1.04	24.96	97812.42	0	4355.6	330.33	4685.93	0	2901	-1	-1
"12"	12	53	1	8	1	1	2	1	790.70992149	979.69168189	37	407	3	70	4	1.02	71.4	279799.94	0	4355.6	330.33	4685.93	0	101	-1	-1
"13"	12	53	1	8	1	1	2	1	790.70992149	979.69168189	41	501	1	100	4	1.05	105	411470.51	0	4355.6	330.33	4685.93	0	0	6	52
"14"	12	53	1	8	1	1	2	1	790.70992149	979.69168189	49	702	1	20	1	1.09	21.8	21357.28	0	4355.6	330.33	4685.93	0	3002	-1	-1
"15"	12	53	1	8	1	1	2	1	790.70992149	979.69168189	42	1301	1	40	4	1.03	41.2	161453.19	0	4355.6	330.33	4685.93	0	6501	-1	-1
"16"	12	53	1	8	10	1	1	1	790.70992149	979.69168189	34	301	1	54	4	1.04	56.16	220077.94	0	1635.11	820.21	2455.32	0	4501	-1	-1
"17"	12	53	1	8	10	1	1	1	790.70992149	979.69168189	29	1001	1	500	12	1.02	510	5995713.09	0	1635.11	820.21	2455.32	2	1306	-1	-1
"18"	12	53	1	8	10	1	1	1	790.70992149	979.69168189	30	501	1	5	12	0.98	4.9	57605.87	0	1635.11	820.21	2455.32	0	1306	-1	-1
"19"	12	53	1	8	10	1	1	1	790.70992149	979.69168189	32	401	1	15	4	1.04	15.6	61132.76	0	1635.11	820.21	2455.32	0	1604	-1	-1
"20"	12	53	1	8	10	1	1	1	790.70992149	979.69168189	28	2301	1	60	12	0.92	55.2	648947.77	0	1635.11	820.21	2455.32	0	7304	-1	-1
"21"	12	53	1	8	10	1	1	1	790.70992149	979.69168189	26	201	1	17.5	52	1	17.5	891519.43	0	1635.11	820.21	2455.32	0	7304	-1	-1
"22"	12	53	1	8	10	1	1	1	790.70992149	979.69168189	34	403	1	25	4	1.03	25.75	100908.24	0	1635.11	820.21	2455.32	0	4501	-1	-1
"23"	12	53	1	8	10	1	1	1	790.70992149	979.69168189	37	304	7	999999.99	4	1.09	12.24	47965.7	1	1635.11	820.21	2455.32	0	99901	-1	-1
"24"	12	53	1	8	10	1	1	1	790.70992149	979.69168189	39	707	1	35	4	1.07	37.45	146757.81	0	1635.11	820.21	2455.32	0	1002	-1	-1
"25"	12	53	1	8	10	1	1	1	790.70992149	979.69168189	42	4004	1	300	4	1.01	303	1187386.32	0	1635.11	820.21	2455.32	0	6507	-1	-1
"26"	12	53	1	8	10	1	1	1	790.70992149	979.69168189	48	201	1	120	1	1.05	126	123441.15	0	1635.11	820.21	2455.32	0	0	-1	-1
"27"	12	53	1	8	10	1	1	1	790.70992149	979.69168189	49	7501	1	100	1	1.05	105	102867.63	0	1635.11	820.21	2455.32	0	99901	-1	-1
"28"	12	53	1	8	2	1	1	1	790.70992149	979.69168189	28	2301	1	30	12	0.93	27.9	328000.78	0	1924.13	0	1924.13	0	101	-1	-1
"29"	12	53	1	8	2	1	1	1	790.70992149	979.69168189	29	203	1	5	12	1.03	5.15	60544.95	0	1924.13	0	1924.13	1	1306	-1	-1
"30"	12	53	1	8	2	1	1	1	790.70992149	979.69168189	30	1001	1	60	12	0.99	59.4	698324.23	0	1924.13	0	1924.13	0	7509	-1	-1
"31"	12	53	1	8	2	1	1	1	790.70992149	979.69168189	37	407	1	33	4	1.02	33.66	131905.69	0	1924.13	0	1924.13	0	101	-1	-1
"32"	12	53	1	8	2	1	1	1	790.70992149	979.69168189	37	402	1	30	4	1.02	30.6	119914.26	0	1924.13	0	1924.13	0	101	-1	-1
"33"	12	53	1	8	2	1	1	1	790.70992149	979.69168189	39	101	1	10	4	1.08	10.8	42322.68	0	1924.13	0	1924.13	0	101	-1	-1
"34"	12	53	1	8	2	1	1	1	790.70992149	979.69168189	39	602	1	70	4	1.09	76.3	299001.9	0	1924.13	0	1924.13	0	101	-1	-1
"35"	12	53	1	8	2	1	1	1	790.70992149	979.69168189	46	1201	1	180	1	0.81	145.8	142839.05	0	1924.13	0	1924.13	0	4010	-1	-1
"36"	12	53	1	8	2	1	1	1	790.70992149	979.69168189	47	801	1	69	1	1.08	74.52	73006.62	0	1924.13	0	1924.13	0	0	-1	-1
