"tipo_reg"	"cod_uf"	"num_seq"	"num_dv"	"cod_domc"	"num_uc"	"num_informante"	"num_ext_renda"	"fator_expansao1"	"fator_expansao2"	"num_quadro"	"cod_item"	"cod_obtencao"	"val_despesa"	"cod_estado"	"fator_anual"	"num_deflator"	"val_despesa_corrigido"	"valor_anual_expandido2"	"cod_imput"	"renda_bruta_monetaria"	"renda_bruta_nao_monetaria"	"renda_total"	"cod_local_compra"
"1"	13	53	1	8	1	1	1	1	790.70992149	979.69168189	51	101	3	27000	1	1	0.93	25110	24600058.13	0	4355.6	330.33	4685.93	9902
"2"	13	53	1	8	7	1	1	1	790.70992149	979.69168189	51	101	3	19000	3	1	0.93	17670	17311152.02	0	800	0	800	7501
"3"	13	53	5	0	12	1	4	1	947.38889615	1173.81734545	51	301	1	250	3	1	1.03	257.5	302257.97	3	2096.5	0	2096.5	7501
"4"	13	53	6	9	12	1	1	1	974.80523604	1207.78626303	51	301	1	504	1	1	1.03	519.12	626986	0	3779	920.33	4699.33	4010
"5"	13	53	6	9	12	1	1	1	974.80523604	1207.78626303	51	101	3	7200	3	1	0.95	6840	8261258.04	0	3779	920.33	4699.33	9902
"6"	13	53	7	7	6	1	1	2	708.30786026	877.59531031	51	101	3	22000	1	1	0.92	20240	17762529.08	0	16671.08	739.54	17410.62	9902
"7"	13	53	8	5	10	1	1	2	806.17718447	998.85566158	51	401	3	2200	1	1	0.95	2090	2087608.33	0	797.25	31.33	828.58	9902
"8"	13	53	8	5	9	1	2	2	806.17718447	998.85566158	51	101	3	7500	3	1	0.94	7050	7041932.41	0	8865.56	3.32	8868.88	7501
"9"	13	53	9	3	9	1	2	2	1096.01433692	1357.96465926	51	101	3	2400	1	1	0.94	2256	3063568.27	3	7143.4	2.6	7146	9902
"10"	13	53	11	5	10	1	1	2	789.76507937	978.52102	51	101	1	7000	3	1	0.93	6510	6370171.84	3	465	251.25	716.25	7501
"11"	13	53	11	5	11	1	6	2	789.76507937	978.52102	51	101	3	11950	3	1	0.95	11352.5	11108659.88	0	4072.94	1000	5072.94	9901
"12"	13	53	11	5	12	1	1	2	789.76507937	978.52102	51	101	3	57000	1	1	0.95	54150	52986913.23	0	14550	1670	16220	9902
"13"	13	53	11	5	3	1	1	2	789.76507937	978.52102	51	101	3	8000	1	1	0.94	7520	7358478.07	0	11357	1931.33	13288.33	9902
"14"	13	53	12	3	11	1	4	2	547.72313297	678.63040891	51	101	1	15000	1	1	0.95	14250	9670483.33	0	1369.95	1380.13	2750.07	9902
"15"	13	53	12	3	15	1	1	2	547.72313297	678.63040891	51	101	1	7000	3	1	0.93	6510	4417883.96	3	2101.18	939.34	3040.52	7501
"16"	13	53	12	3	16	1	1	2	547.72313297	678.63040891	51	101	1	28394	1	1	0.95	26974.3	18305580.24	0	9910.73	1895.49	11806.22	9902
"17"	13	53	12	3	17	1	2	2	547.72313297	678.63040891	51	101	1	24000	1	1	0.95	22800	15472773.32	3	7866.27	2145.12	10011.38	9902
"18"	13	53	12	3	17	1	3	2	547.72313297	678.63040891	51	101	1	24000	1	1	0.95	22800	15472773.32	0	7866.27	2145.12	10011.38	9902
"19"	13	53	12	3	18	1	2	2	547.72313297	678.63040891	51	101	3	2800	1	1	0.95	2660	1805156.89	0	7929.68	290.78	8220.46	9902
