"tipo_reg"	"cod_uf"	"num_seq"	"num_dv"	"cod_domc"	"num_ext_renda"	"fator_expansao1"	"fator_expansao2"	"perd_cod_p_visit_realm_em"	"qtd_morador_domc"	"qtd_uc"	"qtd_familia"	"cod_tipo_domc"	"cod_material_parede"	"cod_material_cobertura"	"cod_material_piso"	"qtd_comodos_domc"	"qtd_comd_serv_dormit"	"cod_agua_comodo"	"cod_abast_agua"	"qtd_banheiros"	"cod_esgoto_sanit"	"cod_cond_ocup"	"cod_tempo_moradia"	"cod_contrato_docum"	"cod_exist_pavim"	"imput_qtd_comodos"	"imput_qtd_banheiros"	"imput_esgoto"	"renda_bruta_monetaria"	"renda_bruta_nao_monetaria"	"renda_total"	"cod_servico_distribuicao"	"estrada_grande_1"	"area_1"	"estrada_ferro_1"	"passagem_1"	"gasoduto_1"	"lixao_1"	"esgoto_1"	"rio_1"	"encosta_1"	"lixo_biodegradavel"	"lixo_separado"	"cod_lixo"	"rede_15"	"propria_15"	"diesel_16"	"solar_16"	"eolica_16"	"agua_16"	"biodiesel_16"	"sistema_misto_16"	"outra_fonte_16"	"energia_17"	"gas_17"	"energia_solar_17"	"lenha_17"	"outra_forma_17"	"gas_18"	"lenha_18"	"carvao_18"	"energia_eletrica_18"	"outro_18"
"1"	1	53	1	8	1	1	790.70992149	979.69168189	2	5	1	1	1	1	1	4	6	3	1	1	1	1	4	0	0	1	0	0	0	4355.6	330.33	4685.93	1	2	2	2	2	2	2	2	2	2	2	0	1	1	2	0	0	0	0	0	0	0	1	2	2	2	2	1	2	2	2	2
"2"	1	53	1	8	10	1	790.70992149	979.69168189	9	2	1	1	1	1	1	2	7	3	1	1	1	1	1	0	0	1	0	0	0	1635.11	820.21	2455.32	1	1	2	2	1	2	2	2	2	2	2	0	1	1	2	0	0	0	0	0	0	0	1	2	2	2	2	1	2	2	2	2
"3"	1	53	1	8	2	1	790.70992149	979.69168189	1	2	1	1	2	1	2	2	2	1	1	1	1	1	6	2	3	1	0	0	0	1924.13	0	1924.13	1	2	2	1	2	2	2	2	2	2	2	0	1	1	2	0	0	0	0	0	0	0	1	2	2	2	2	1	2	2	2	2
"4"	1	53	1	8	3	1	790.70992149	979.69168189	3	4	1	1	1	1	1	2	6	2	1	1	1	1	6	2	1	1	0	0	0	2323.77	15.21	2338.98	1	2	2	2	2	2	2	2	2	2	2	0	1	1	2	0	0	0	0	0	0	0	1	2	2	2	2	1	2	2	2	2
"5"	1	53	1	8	4	1	790.70992149	979.69168189	3	2	1	1	1	1	1	2	7	2	1	1	2	1	1	0	0	1	0	0	0	3926.94	27.81	3954.75	1	2	2	2	2	2	2	2	2	2	2	0	1	1	2	0	0	0	0	0	0	0	1	2	2	2	2	1	2	2	2	2
"6"	1	53	1	8	5	1	790.70992149	979.69168189	5	1	1	1	3	1	2	2	2	1	1	1	1	1	6	3	1	1	0	0	0	1475	0	1475	1	2	2	2	2	2	2	2	2	2	2	0	1	1	2	0	0	0	0	0	0	0	1	2	2	2	2	1	2	2	2	2
"7"	1	53	1	8	7	1	790.70992149	979.69168189	8	4	1	1	1	1	1	4	6	2	1	1	1	1	6	3	2	1	0	0	0	800	0	800	1	2	2	2	2	2	2	2	2	2	2	0	1	1	2	0	0	0	0	0	0	0	1	2	2	2	2	1	2	2	2	2
"8"	1	53	1	8	8	1	790.70992149	979.69168189	8	7	1	1	1	1	1	2	11	4	1	1	4	1	1	0	0	1	0	0	0	3769.05	1516.1	5285.15	1	2	2	2	2	2	2	2	2	2	2	0	1	1	2	0	0	0	0	0	0	0	1	2	2	2	2	1	2	2	2	2
"9"	1	53	1	8	9	1	790.70992149	979.69168189	10	5	1	1	1	1	1	2	4	2	1	1	1	1	6	2	1	1	0	0	0	1785	0	1785	1	1	2	2	2	2	2	2	2	2	2	0	1	1	2	0	0	0	0	0	0	0	1	2	2	2	2	1	2	2	2	2
"10"	1	53	2	6	11	1	4304.06036872	5332.74216876	12	7	1	1	1	1	1	4	5	4	1	1	1	1	5	0	0	2	0	0	0	394.6	1699.44	2094.04	1	2	2	2	2	2	2	2	2	2	2	0	1	1	2	0	0	0	0	0	0	0	1	2	2	2	2	1	2	2	2	2
"11"	1	53	2	6	8	1	4304.06036872	5332.74216876	8	1	1	1	1	1	1	2	10	4	1	1	4	2	1	0	0	2	0	0	0	1209.67	223.2	1432.87	1	2	2	2	2	2	2	2	2	2	2	0	1	1	2	0	0	0	0	0	0	0	1	2	2	2	2	1	2	2	2	2
"12"	1	53	4	2	10	1	1030.08969936	1276.28385915	23	7	1	1	1	1	1	4	7	3	1	1	2	2	1	0	0	2	0	0	0	1177.53	413.33	1590.86	4	1	2	2	1	2	1	2	2	2	2	0	1	1	2	0	0	0	0	0	0	0	1	2	2	2	2	1	2	2	2	2
"13"	1	53	4	2	13	1	1030.08969936	1276.28385915	26	1	1	1	1	1	1	2	4	1	1	1	1	2	1	0	0	2	0	0	0	1510	0	1510	4	1	2	2	2	2	1	2	2	2	2	0	1	1	2	0	0	0	0	0	0	0	1	2	2	2	2	1	2	2	2	2
"14"	1	53	4	2	2	1	1030.08969936	1276.28385915	15	3	1	1	1	1	1	4	6	2	1	1	1	6	1	0	0	2	0	0	0	170.13	288.2	458.33	1	1	1	2	1	2	1	1	2	2	2	0	1	1	2	0	0	0	0	0	0	0	1	2	2	2	2	1	2	2	2	2
"15"	1	53	4	2	5	1	1030.08969936	1276.28385915	19	5	1	1	1	1	1	4	5	2	1	1	1	2	5	0	0	2	0	0	0	356.8	247.12	603.92	2	1	2	2	2	2	2	2	2	2	2	0	1	1	2	0	0	0	0	0	0	0	1	2	2	2	2	1	2	2	2	2
"16"	1	53	4	2	7	1	1030.08969936	1276.28385915	21	7	1	1	1	1	1	4	3	1	1	1	1	2	1	0	0	2	0	0	0	416	204	620	3	1	2	2	2	2	2	2	2	2	2	0	1	1	2	0	0	0	0	0	0	0	1	2	2	2	2	1	2	2	2	2
"17"	1	53	4	2	9	1	1030.08969936	1276.28385915	23	6	1	1	1	1	1	2	8	3	1	1	1	1	1	0	0	2	0	0	0	2496.27	400.19	2896.46	4	1	2	2	1	2	2	1	2	2	2	0	1	1	2	0	0	0	0	0	0	0	1	2	2	2	2	1	2	2	2	2
"18"	1	53	5	0	11	1	947.38889615	1173.81734545	35	5	1	1	2	1	2	2	2	1	1	1	1	1	6	3	3	1	0	0	0	1162.22	25.08	1187.3	1	1	2	2	2	2	2	2	2	2	2	0	2	1	2	0	0	0	0	0	0	0	1	2	2	2	2	1	2	2	2	2
"19"	1	53	5	0	12	1	947.38889615	1173.81734545	35	4	1	1	2	1	2	2	5	2	1	1	1	1	6	3	2	1	0	0	0	2096.5	0	2096.5	1	2	2	2	2	2	2	2	2	2	2	0	2	1	2	0	0	0	0	0	0	0	1	2	2	2	2	1	2	2	2	2
"20"	1	53	5	0	13	1	947.38889615	1173.81734545	38	6	1	1	1	2	1	4	6	3	1	1	2	1	4	0	0	1	0	0	0	6910	1171.9	8081.9	4	1	2	2	2	2	2	2	2	2	2	0	1	1	2	0	0	0	0	0	0	0	1	2	2	2	2	1	2	2	2	2
"21"	1	53	5	0	14	1	947.38889615	1173.81734545	38	1	1	1	2	1	2	2	5	2	1	1	1	1	6	3	3	1	0	0	0	1500	0	1500	1	1	2	2	2	2	2	2	2	2	2	0	2	1	2	0	0	0	0	0	0	0	1	2	2	2	2	1	2	2	2	2
"22"	1	53	5	0	4	1	947.38889615	1173.81734545	29	1	1	1	1	1	1	2	10	3	1	1	3	1	1	0	0	2	0	0	0	4390	1076.27	5466.27	4	2	2	2	2	2	2	2	2	2	2	0	1	1	2	0	0	0	0	0	0	0	1	2	2	2	2	1	2	2	2	2
"23"	1	53	5	0	5	1	947.38889615	1173.81734545	32	6	1	1	1	1	1	4	2	1	1	1	1	1	6	3	1	2	0	0	0	868.35	15.75	884.1	4	1	2	2	2	2	2	2	2	2	2	0	1	1	2	0	0	0	0	0	0	0	1	2	2	2	2	1	2	2	2	2
"24"	1	53	5	0	8	1	947.38889615	1173.81734545	32	4	1	1	2	1	2	4	4	2	1	1	1	1	6	1	2	1	0	0	0	488.83	19.28	508.11	1	1	1	2	2	2	2	1	2	2	2	0	1	1	2	0	0	0	0	0	0	0	1	2	2	2	2	1	2	2	2	2
"25"	1	53	5	0	9	1	947.38889615	1173.81734545	35	5	1	1	2	1	2	2	2	1	1	1	1	1	6	1	3	1	0	0	0	1825.4	19.4	1844.8	1	1	2	2	2	2	2	2	1	2	2	0	2	1	2	0	0	0	0	0	0	0	1	2	2	2	2	1	2	2	2	2
"26"	1	53	6	9	11	1	974.80523604	1207.78626303	51	2	1	1	2	1	2	2	6	1	1	1	2	1	1	0	0	1	0	0	0	5050	660.92	5710.92	1	2	2	2	2	2	2	2	2	2	2	0	2	1	2	0	0	0	0	0	0	0	1	2	2	2	2	1	2	2	2	2
"27"	1	53	6	9	12	1	974.80523604	1207.78626303	51	4	1	1	2	1	1	2	6	2	1	1	1	1	1	0	0	1	0	0	0	3779	920.33	4699.33	1	2	2	2	2	2	2	2	2	2	2	0	2	1	2	0	0	0	0	0	0	0	1	2	2	2	2	1	2	2	2	2
"28"	1	53	6	9	13	1	974.80523604	1207.78626303	52	3	1	1	1	1	2	2	11	3	1	1	3	1	1	0	0	1	0	0	0	5976.48	990	6966.48	1	1	2	2	2	2	2	2	2	2	2	0	1	1	2	0	0	0	0	0	0	0	1	2	2	2	2	1	2	2	2	2
"29"	1	53	6	9	4	1	974.80523604	1207.78626303	44	1	1	1	1	1	1	2	3	1	1	1	1	1	6	2	1	1	0	0	0	3792.67	22.19	3814.86	1	2	2	2	2	2	2	2	2	2	2	0	1	1	2	0	0	0	0	0	0	0	1	2	2	2	2	1	2	2	2	2
"30"	1	53	6	9	7	1	974.80523604	1207.78626303	47	2	1	1	1	1	1	3	6	1	1	1	1	1	1	0	0	1	0	0	0	2550	629.25	3179.25	1	1	2	2	2	2	2	2	2	2	2	0	1	1	2	0	0	0	0	0	0	0	1	2	2	2	2	1	2	2	2	2
"31"	1	53	7	7	1	2	708.30786026	877.59531031	2	3	1	1	1	1	1	2	7	2	1	1	2	1	6	1	1	1	0	0	0	12066.23	0	12066.23	1	1	1	2	2	2	2	2	2	2	2	0	1	1	2	0	0	0	0	0	0	0	1	2	2	2	2	1	2	2	2	2
"32"	1	53	7	7	11	2	708.30786026	877.59531031	11	1	1	1	2	1	2	3	6	2	1	1	2	2	6	1	3	1	0	0	0	3998.24	95.64	4093.87	1	2	2	2	2	2	2	2	2	2	2	0	2	1	2	0	0	0	0	0	0	0	1	2	2	2	2	1	2	2	2	2
