"tipo_reg"	"cod_uf"	"num_seq"	"num_dv"	"cod_domc"	"num_uc"	"num_ext_renda"	"fator_expansao1"	"fator_expansao2"	"num_quadro"	"cod_item"	"qtd_item"	"ano_aquisicao"	"cod_estado"	"cod_obtencao"	"cod_imput"	"renda_bruta_monetaria"	"renda_bruta_nao_monetaria"	"renda_total"
"1"	5	53	1	8	1	1	1	790.70992149	979.69168189	14	1301	1	1997	1	1	0	4355.6	330.33	4685.93
"2"	5	53	1	8	1	1	1	790.70992149	979.69168189	14	801	1	2008	1	3	0	4355.6	330.33	4685.93
"3"	5	53	1	8	1	1	1	790.70992149	979.69168189	14	601	1	2002	1	1	0	4355.6	330.33	4685.93
"4"	5	53	1	8	1	1	1	790.70992149	979.69168189	14	501	1	2006	1	1	0	4355.6	330.33	4685.93
"5"	5	53	1	8	1	1	1	790.70992149	979.69168189	14	301	1	2008	1	3	0	4355.6	330.33	4685.93
"6"	5	53	1	8	1	1	1	790.70992149	979.69168189	14	2101	1	2001	3	3	0	4355.6	330.33	4685.93
"7"	5	53	1	8	1	1	1	790.70992149	979.69168189	14	101	1	2008	3	7	0	4355.6	330.33	4685.93
"8"	5	53	1	8	1	1	1	790.70992149	979.69168189	14	3001	1	2008	1	3	0	4355.6	330.33	4685.93
"9"	5	53	1	8	1	1	1	790.70992149	979.69168189	14	2601	1	2008	1	3	0	4355.6	330.33	4685.93
"10"	5	53	1	8	1	1	1	790.70992149	979.69168189	14	2401	1	2006	1	3	0	4355.6	330.33	4685.93
"11"	5	53	1	8	1	1	1	790.70992149	979.69168189	14	2201	2	2004	1	1	0	4355.6	330.33	4685.93
"12"	5	53	1	8	1	1	1	790.70992149	979.69168189	14	201	1	2002	3	7	0	4355.6	330.33	4685.93
"13"	5	53	1	8	10	1	1	790.70992149	979.69168189	14	101	1	2003	1	7	0	1635.11	820.21	2455.32
"14"	5	53	1	8	10	1	1	790.70992149	979.69168189	14	2701	1	2008	1	3	0	1635.11	820.21	2455.32
