"tipo_reg"	"cod_uf"	"num_seq"	"num_dv"	"cod_domc"	"num_uc"	"num_ext_renda"	"fator_expansao1"	"fator_expansao2"	"num_quadro"	"cod_item"	"cod_obtencao"	"val_despesa"	"cod_estado"	"fator_anual"	"num_deflator"	"val_despesa_corrigido"	"valor_anual_expandido2"	"cod_imput"	"renda_bruta_monetaria"	"renda_bruta_nao_monetaria"	"renda_total"	"cod_local_compra"
"1"	8	53	1	8	1	1	1	790.70992149	979.69168189	15	1301	3	34	1	1	0.99	33.66	32976.42	0	4355.6	330.33	4685.93	4401
"2"	8	53	1	8	1	1	1	790.70992149	979.69168189	15	601	3	600	1	1	0.98	588	576058.71	0	4355.6	330.33	4685.93	4401
"3"	8	53	1	8	1	1	1	790.70992149	979.69168189	15	12401	7	200	3	1	1.1	220	215532.17	0	4355.6	330.33	4685.93	7501
"4"	8	53	1	8	1	1	1	790.70992149	979.69168189	15	901	3	56	1	1	0.99	55.44	54314.11	0	4355.6	330.33	4685.93	4401
"5"	8	53	1	8	1	1	1	790.70992149	979.69168189	15	6601	3	320	1	1	0.89	284.8	279016.19	0	4355.6	330.33	4685.93	4401
"6"	8	53	1	8	10	1	1	790.70992149	979.69168189	15	3201	1	24	1	1	0.95	22.8	22336.97	0	1635.11	820.21	2455.32	4011
"7"	8	53	1	8	10	1	1	790.70992149	979.69168189	15	2401	1	499	1	1	0.9	449.1	439979.53	0	1635.11	820.21	2455.32	4001
"8"	8	53	1	8	10	1	1	790.70992149	979.69168189	15	9401	3	188	1	1	0.95	178.6	174972.93	0	1635.11	820.21	2455.32	9102
"9"	8	53	1	8	10	1	1	790.70992149	979.69168189	15	14001	1	48	1	1	1.08	51.84	50787.22	0	1635.11	820.21	2455.32	101
"10"	8	53	1	8	10	1	1	790.70992149	979.69168189	18	201	7	10	1	1	1.15	11.5	11266.45	0	1635.11	820.21	2455.32	7501
"11"	8	53	1	8	2	1	1	790.70992149	979.69168189	15	2701	3	200	1	1	0.99	198	193978.95	0	1924.13	0	1924.13	4010
"12"	8	53	1	8	2	1	1	790.70992149	979.69168189	15	2401	3	300	1	1	0.87	261	255699.53	0	1924.13	0	1924.13	4010
"13"	8	53	1	8	3	1	1	790.70992149	979.69168189	15	2401	7	150	3	1	0.89	133.5	130788.84	0	2323.77	15.21	2338.98	7501
"14"	8	53	1	8	3	1	1	790.70992149	979.69168189	15	2101	7	50	3	1	0.98	49	48004.89	0	2323.77	15.21	2338.98	7501
"15"	8	53	1	8	3	1	1	790.70992149	979.69168189	15	12401	3	1300	1	1	1.11	1443	1413695.1	0	2323.77	15.21	2338.98	4010
