"tipo_reg"	"cod_uf"	"num_seq"	"num_dv"	"cod_domc"	"num_uc"	"num_ord_inform"	"num_ext_renda"	"fator_expansao1"	"fator_expansao2"	"num_quadro"	"cod_item"	"val_recebido"	"val_deducao"	"cod_deduc"	"mes_ultimo_rendimento"	"num_meses_resgate"	"fator_anual"	"num_deflator"	"val_recebido_corrigido"	"val_deducao_corrigido"	"valor_anual_expandido2"	"valor_deduc_anual_expandido2"	"cod_imput"	"renda_bruta_monetaria"	"renda_bruta_nao_monetaria"	"renda_total"
"1"	15	53	1	8	1	1	1	1	790.70992149	979.69168189	54	1501	160	0	51501	4	12	1	1.04	166.4	0	1956248.35	0	0	4355.6	330.33	4685.93
"2"	15	53	1	8	1	1	1	1	790.70992149	979.69168189	54	1601	105	0	51601	4	12	1	1.04	109.2	0	1283787.98	0	0	4355.6	330.33	4685.93
"3"	15	53	1	8	1	1	1	1	790.70992149	979.69168189	55	3701	3000	0	53701	0	0	1	1.08	3240	0	3174201.05	0	0	4355.6	330.33	4685.93
"4"	15	53	1	8	1	1	1	1	790.70992149	979.69168189	55	3801	4000	0	53801	0	0	1	1.08	4320	0	4232268.07	0	0	4355.6	330.33	4685.93
"5"	15	53	1	8	10	1	2	1	790.70992149	979.69168189	54	401	1447	0	50401	6	12	1	1.13	1635.11	0	19222843.99	0	0	1635.11	820.21	2455.32
"6"	15	53	1	8	2	1	1	1	790.70992149	979.69168189	55	3701	435	90	53701	0	0	1	1.08	469.8	97.2	460259.15	95226.03	0	1924.13	0	1924.13
"7"	15	53	1	8	2	1	1	1	790.70992149	979.69168189	55	4101	600	0	54101	0	0	1	1.15	690	0	675987.26	0	0	1924.13	0	1924.13
"8"	15	53	1	8	2	1	2	1	790.70992149	979.69168189	55	3701	120	0	53701	0	0	1	1.08	129.6	0	126968.04	0	0	1924.13	0	1924.13
"9"	15	53	1	8	2	1	2	1	790.70992149	979.69168189	55	1701	1185	0	51701	0	0	1	1.09	1291.65	0	1265418.76	0	0	1924.13	0	1924.13
"10"	15	53	1	8	2	1	2	1	790.70992149	979.69168189	56	101	1000	0	50101	0	0	1	1.09	1090	0	1067863.93	0	0	1924.13	0	1924.13
"11"	15	53	1	8	2	1	2	1	790.70992149	979.69168189	57	101	1000	0	50101	0	0	1	1.09	1090	0	1067863.93	0	0	1924.13	0	1924.13
"12"	15	53	1	8	3	1	1	1	790.70992149	979.69168189	55	1701	3080	0	51701	0	0	1	1.09	3357.2	0	3289020.91	0	0	2323.77	15.21	2338.98
"13"	15	53	1	8	3	1	1	1	790.70992149	979.69168189	55	3701	1200	0	53701	0	0	1	1.07	1284	0	1257924.12	0	0	2323.77	15.21	2338.98
"14"	15	53	1	8	3	1	1	1	790.70992149	979.69168189	55	3801	1200	0	53801	0	0	1	1.07	1284	0	1257924.12	0	0	2323.77	15.21	2338.98
"15"	15	53	1	8	4	1	1	1	790.70992149	979.69168189	54	101	780	0	50101	5	12	1	1	780	0	9169914.14	0	0	3926.94	27.81	3954.75
"16"	15	53	1	8	4	1	1	1	790.70992149	979.69168189	55	3701	670	0	53701	0	0	1	1.07	716.9	0	702340.97	0	0	3926.94	27.81	3954.75
"17"	15	53	1	8	4	1	1	1	790.70992149	979.69168189	55	3801	999999	0	53801	0	0	1	1.07	12240	0	11991426.19	0	1	3926.94	27.81	3954.75
"18"	15	53	1	8	4	1	2	1	790.70992149	979.69168189	54	801	880	0	50801	5	12	1	1.04	915.2	0	10759365.93	0	0	3926.94	27.81	3954.75
"19"	15	53	1	8	4	1	2	1	790.70992149	979.69168189	54	101	415	0	50101	5	12	1	1	415	0	4878864.58	0	0	3926.94	27.81	3954.75
"20"	15	53	1	8	5	1	1	1	790.70992149	979.69168189	54	101	415	0	50101	5	12	1	1	415	0	4878864.58	0	0	1475	0	1475
"21"	15	53	1	8	7	1	1	1	790.70992149	979.69168189	54	201	800	0	50201	6	12	1	1	800	0	9405040.15	0	0	800	0	800
"22"	15	53	1	8	8	1	4	1	790.70992149	979.69168189	54	1601	96	0	51601	6	12	1	1.02	97.92	0	1151176.91	0	0	3769.05	1516.1	5285.15
"23"	15	53	1	8	8	1	4	1	790.70992149	979.69168189	54	1501	155	0	51501	6	12	1	1.02	158.1	0	1858671.06	0	0	3769.05	1516.1	5285.15
"24"	15	53	1	8	8	1	4	1	790.70992149	979.69168189	55	3701	1600	0	53701	0	0	1	1.06	1696	0	1661557.09	0	0	3769.05	1516.1	5285.15
"25"	15	53	1	8	8	1	4	1	790.70992149	979.69168189	55	3801	3600	0	53801	0	0	1	1.06	3816	0	3738503.46	0	0	3769.05	1516.1	5285.15
"26"	15	53	1	8	8	1	4	1	790.70992149	979.69168189	55	4501	2400	0	54501	0	0	1	1.05	2520	0	2468823.04	0	0	3769.05	1516.1	5285.15
"27"	15	53	1	8	8	1	4	1	790.70992149	979.69168189	55	701	13500	0	50701	0	0	1	0.9	12150	0	11903253.93	0	0	3769.05	1516.1	5285.15
"28"	15	53	2	6	11	1	2	1	4304.06036872	5332.74216876	54	1001	180	0	51001	7	2	1	1.02	183.6	0	1958182.92	0	0	394.6	1699.44	2094.04
"29"	15	53	2	6	8	1	1	1	4304.06036872	5332.74216876	54	801	900	0	50801	6	12	1	1.03	927	0	59321423.89	0	0	1209.67	223.2	1432.87
"30"	15	53	4	2	10	1	1	1	1030.08969936	1276.28385915	54	1501	999999	0	51501	9	7	1	1.02	173.04	0	1545937.11	0	1	1177.53	413.33	1590.86
"31"	15	53	4	2	10	1	5	1	1030.08969936	1276.28385915	54	1601	120	0	51601	9	12	1	1.02	122.4	0	1874605.73	0	0	1177.53	413.33	1590.86
"32"	15	53	4	2	10	1	5	1	1030.08969936	1276.28385915	55	3801	200	0	53801	0	0	1	1.05	210	0	268019.61	0	0	1177.53	413.33	1590.86
"33"	15	53	4	2	10	1	5	1	1030.08969936	1276.28385915	55	3701	600	0	53701	0	0	1	1.05	630	0	804058.83	0	0	1177.53	413.33	1590.86
"34"	15	53	4	2	13	1	1	1	1030.08969936	1276.28385915	54	201	1300	0	50201	10	12	1	1	1300	0	19910028.2	0	0	1510	0	1510
"35"	15	53	4	2	2	1	1	1	1030.08969936	1276.28385915	54	101	415	0	50101	7	4	1	1	415	0	2118631.21	0	3	170.13	288.2	458.33
"36"	15	53	4	2	2	1	1	1	1030.08969936	1276.28385915	55	6401	360	0	56401	0	0	1	1.06	381.6	0	487029.92	0	3	170.13	288.2	458.33
