"tipo_reg"	"cod_uf"	"num_seq"	"num_dv"	"cod_domc"	"num_uc"	"num_ext_renda"	"fator_expansao1"	"fator_expansao2"	"num_quadro"	"cod_item"	"cod_obtencao"	"val_despesa"	"cod_inss"	"val_inss"	"cod_especie"	"mes"	"qtd_meses"	"fator_anual"	"num_deflator"	"val_despesa_corrigido"	"val_inss_corrigido"	"valor_anual_expandido2"	"valor_inss_anual_expandido2"	"cod_imput"	"cod_imput_inss"	"renda_bruta_monetaria"	"renda_bruta_nao_monetaria"	"renda_total"
"1"	9	53	1	8	10	1	1	790.70992149	979.69168189	19	101	1	30	50101	0	3	6	6	1	1.07	32.1	0	188688.62	0	0	0	1635.11	820.21	2455.32
"2"	9	53	1	8	4	1	1	790.70992149	979.69168189	19	101	1	412	50101	999999.99	1	12	12	1	1.12	461.44	36.92	5424827.16	434042.6	0	1	3926.94	27.81	3954.75
"3"	9	53	4	2	2	1	1	1030.08969936	1276.28385915	19	501	1	30	0	0	9	7	12	1	1.05	31.5	0	482435.3	0	3	0	170.13	288.2	458.33
"4"	9	53	6	9	11	1	1	974.80523604	1207.78626303	19	301	1	130	50301	0	3	1	1	1	1	130	0	157012.21	0	0	0	5050	660.92	5710.92
"5"	9	53	6	9	4	1	1	974.80523604	1207.78626303	19	101	1	400	50101	0	3	2	12	1	1	400	0	5797374.06	0	0	0	3792.67	22.19	3814.86
"6"	9	53	7	7	11	1	2	708.30786026	877.59531031	19	301	1	40	50301	0	3	7	6	1	1.05	42	0	221154.02	0	0	0	3998.24	95.64	4093.87
"7"	9	53	7	7	3	1	2	708.30786026	877.59531031	19	101	1	535	50101	87	1	5	12	1	1.08	577.8	93.96	6084894.84	989506.26	0	0	18531.83	1236	19767.83
"8"	9	53	7	7	3	1	2	708.30786026	877.59531031	19	1501	1	200	51501	0	3	5	12	1	1.08	216	0	2274727.04	0	0	0	18531.83	1236	19767.83
"9"	9	53	7	7	6	1	2	708.30786026	877.59531031	19	101	1	250	50101	83	1	5	12	1	1.08	270	89.64	2843408.81	944011.72	0	0	16671.08	739.54	17410.62
"10"	9	53	8	5	2	1	2	806.17718447	998.85566158	19	501	1	30	0	0	9	7	12	1	1.05	31.5	0	377567.44	0	3	0	2379.2	1285.2	3664.4
"11"	9	53	8	5	3	1	2	806.17718447	998.85566158	19	101	1	100	50101	0	3	8	12	1	1.04	104	0	1246571.87	0	0	0	7887.54	2550	10437.54
"12"	9	53	8	5	9	1	2	806.17718447	998.85566158	19	2501	1	500	52501	999999.99	1	10	2	1	1.02	510	40.8	1018832.77	81506.62	0	1	8865.56	3.32	8868.88
"13"	9	53	8	5	9	1	2	806.17718447	998.85566158	19	101	1	600	50101	999999.99	1	10	12	1	1.02	612	48.96	7335595.98	586847.68	0	1	8865.56	3.32	8868.88
"14"	9	53	9	3	9	1	2	1096.01433692	1357.96465926	19	101	1	450	50101	40	1	12	12	1	1.01	454.5	40.4	7406339.25	658341.27	0	0	7143.4	2.6	7146
"15"	9	53	10	7	7	1	2	2697.14328269	3341.76765348	19	101	1	60	50101	999999.99	3	4	12	1	0.97	58.2	4.66	2333890.53	186871.65	0	1	4390.83	1191	5581.83
"16"	9	53	11	5	12	1	2	789.76507937	978.52102	19	101	1	160	50101	0	3	3	12	1	0.99	158.4	0	1859972.75	0	0	0	14550	1670	16220
"17"	9	53	11	5	14	1	2	789.76507937	978.52102	19	101	1	600	50101	100	1	3	12	1	0.99	594	99	6974897.83	1162482.97	0	0	4000	549.76	4549.76
"18"	9	53	11	5	14	1	2	789.76507937	978.52102	19	1101	1	600	51101	100	1	3	12	1	0.99	594	99	6974897.83	1162482.97	0	0	4000	549.76	4549.76
"19"	9	53	11	5	3	1	2	789.76507937	978.52102	19	501	1	40	50501	0	3	1	12	1	1	40	0	469690.09	0	0	0	11357	1931.33	13288.33
"20"	9	53	12	3	16	1	2	547.72313297	678.63040891	19	101	1	600	50101	93	1	3	10	1	0.99	594	92.07	4031064.63	624815.02	0	0	9910.73	1895.49	11806.22
"21"	9	53	12	3	17	1	2	547.72313297	678.63040891	19	101	1	460	50101	999999.99	1	4	2	1	0.97	446.2	35.7	605609.78	48454.21	0	1	7866.27	2145.12	10011.38
"22"	9	53	12	3	2	1	2	547.72313297	678.63040891	19	301	1	400	50301	999999.99	1	1	12	1	1	400	32	3257425.96	260594.08	0	1	1724.03	1861.28	3585.31
"23"	9	53	12	3	20	1	2	547.72313297	678.63040891	19	1501	1	50	51501	0	3	10	3	1	1.02	51	0	103830.45	0	0	0	1200.53	1465.11	2665.64
"24"	9	53	12	3	4	1	2	547.72313297	678.63040891	19	301	1	55	50301	999999.99	3	1	1	1	1	55	4.4	37324.67	2985.97	0	1	1955.75	1395.08	3350.83
"25"	9	53	13	1	5	1	3	597.61338879	740.44456769	19	101	1	450	50101	50	1	12	12	1	1.12	504	56	4478208.75	497578.75	0	0	23101.05	1547.34	24648.39
"26"	9	53	13	1	8	1	3	597.61338879	740.44456769	19	101	1	415	50101	0	1	6	3	1	1.07	444.05	0	986383.23	0	0	0	1503.48	435.47	1938.94
