referencia|municipio|A01setor|A01nficha|A01npessoas|D01|D02|D06|D03|D04|D05|D07|D08|D09|D10|D11|D12|D13|D14|D15|D16|D17|D18|D19|D20|D21|D22|E01|E02|E03|E04|E05|E06|E07|E08|E09|E10|E11|E12|E13|E14|E15|PESO|PROJ_POP|pos_estrato
2016|43|15|1958|3|6489|6|0|1|4|13|99|3|1|1|3|2013|1|3|3|0|0|3|0|99|99|99|1|43|11|6|0|7|99|99|99|99|99|99999|0|99|0|30,4401642288705|2404,77297408077|03103
2016|43|15|1958|3|6490|4|99|2|4|33|1|3|1|18|99|2013|1|3|3|0|0|3|0|0|99|99|0|99|14|99|4|6|99|99|99|99|99|99999|400|0|0|28,5315163441309|2539,30495462765|03207
2016|43|15|1958|3|6491|1|99|2|4|48|6|3|1|18|99|2013|1|3|3|0|0|3|0|0|99|99|0|99|11|4|4|6|99|99|99|99|99|99999|900|0|0|23,8864319819955|1695,93667072168|03210
2016|43|15|1959|5|6494|4|99|1|2|30|1|1|1|1|1|1985|9|1|30|1|1|0|0|0|99|99|0|99|16|99|3|1|12|1|1|5|1|1000|0|2|1|29,1830020925804|2334,64016740643|03107
2016|43|15|1959|5|6496|2|99|1|2|55|4|1|1|13|99|1986|1|1|31|1|1|0|0|0|99|99|0|99|16|99|0|1|11|1|1|5|1|1000|0|2|1|20,5956798460798|926,805593073593|03112
2016|43|15|1959|5|6495|1|99|2|2|54|4|1|1|13|99|1986|9|8|31|1|1|0|0|0|99|99|0|99|14|99|0|1|12|1|1|5|1|2000|0|2|1|22,4043493827194|1366,66531234588|03211
2016|43|15|1959|5|6492|4|99|1|2|26|1|1|1|1|1|1989|9|1|26|1|1|0|0|0|99|99|0|99|16|99|3|1|4|1|1|5|1|1000|0|2|1|32,6838837159026|2385,92351126089|03106
2016|43|15|1959|5|6493|4|99|1|2|26|1|1|1|1|1|1989|9|1|26|1|1|0|0|0|99|99|0|99|16|99|3|1|4|1|1|5|1|1000|0|2|1|32,6838837159026|2385,92351126089|03106
2016|43|15|1960|3|6499|1|99|1|1|66|4|1|1|7|99|1976|7|6|40|0|0|43|43|0|99|99|0|99|2|99|0|6|99|99|99|99|99|99999|0|0|0|11,9429554712443|453,832307907283|03114
2016|43|15|1960|3|6498|2|99|2|1|59|4|1|1|7|99|1976|7|1|40|0|0|43|43|0|99|99|0|99|12|99|0|0|99|99|99|99|99|99999|0|99|0|18,5687871824814|1076,98965658392|03212
2016|43|15|1960|3|6497|4|99|2|1|33|1|1|1|9|99|9999|99|99|33|0|0|43|43|0|99|99|0|99|4|99|0|0|99|99|99|99|99|99999|0|99|0|28,5315163441309|2539,30495462765|03207
2016|43|15|1961|4|6501|4|99|2|1|32|1|1|1|6|99|2000|25|1|16|2|1|32|32|0|99|99|1|43|15|4|0|1|1|1|43|1|3|2000|0|2|43|28,5315163441309|2539,30495462765|03207
2016|43|15|1961|4|6502|2|99|2|1|50|2|1|1|15|99|2000|25|1|16|2|0|32|32|0|99|99|0|99|14|99|0|5|99|99|99|99|99|99999|0|0|43|22,4043493827194|1366,66531234588|03211
2016|43|15|1961|4|6503|1|99|1|1|53|2|1|1|15|99|2000|25|1|16|2|0|32|32|0|99|99|0|99|14|99|0|1|4|6|43|1|11|77777|77777|1|43|23,6685476702264|1254,433026522|03111
2016|43|15|1961|4|6500|4|99|1|1|25|1|1|1|5|99|2000|25|1|16|2|0|32|32|0|99|99|1|43|15|2|0|1|4|1|43|1|3|1800|0|2|43|32,6838837159026|2385,92351126089|03106
2016|43|15|1962|3|6506|1|99|2|1|45|6|1|1|6|99|8888|25|88|888|1|0|43|43|3|3|2|0|99|12|99|0|0|99|99|99|99|99|99999|0|99|0|23,8864319819955|1695,93667072168|03210
